Word,Rolling Average,Year
man,0,1973
ca,0,1973
chance,0,1973
want,0,1973
feat,0,1973
night,0,1973
feel,0,1973
heart,0,1973
gon,0,1973
make,0,1973
never,0,1973
buddy,0,1973
way,0,1973
da,0,1973
wan,0,1973
jake,0,1973
boy,0,1973
ai,0,1973
back,0,1973
hey,0,1973
b***h,0,1973
ayy,0,1973
n***a,0,1973
love,243.8,1974
like,162.2,1974
know,109.6,1974
funny,0,1974
oh,127,1974
yeah,101,1974
go,28,1974
might,0,1974
one,34.2,1974
also,0,1974
come,0,1974
baby,96,1974
day,31,1974
said,0,1974
la,33,1974
twist,0,1974
let,48.8,1974
got,123.2,1974
say,53,1974
um,0,1974
time,32.8,1974
girl,0,1974
na,43.8,1974
protest,0,1974
need,0,1974
get,109.4,1974
see,0,1974
take,21.2,1974
ooh,0,1974
sweet,0,1974
du,0,1974
man,0,1974
ca,0,1974
chance,0,1974
want,0,1974
feat,0,1974
night,0,1974
feel,0,1974
heart,0,1974
gon,0,1974
make,0,1974
never,0,1974
buddy,0,1974
way,0,1974
da,0,1974
wan,0,1974
jake,0,1974
boy,0,1974
ai,0,1974
back,0,1974
hey,0,1974
b***h,0,1974
ayy,0,1974
n***a,0,1974
love,256,1975
like,169.6,1975
know,109.4,1975
funny,0,1975
oh,128.8,1975
yeah,69.6,1975
go,28,1975
might,0,1975
one,34.2,1975
also,0,1975
come,36.4,1975
baby,101.2,1975
day,31,1975
said,0,1975
la,63.2,1975
twist,0,1975
let,18.8,1975
got,127.4,1975
say,53,1975
um,0,1975
time,0,1975
girl,0,1975
na,75.8,1975
protest,0,1975
need,0,1975
get,123.4,1975
see,0,1975
take,21.2,1975
ooh,0,1975
sweet,0,1975
du,0,1975
man,0,1975
ca,0,1975
chance,0,1975
want,0,1975
feat,0,1975
night,0,1975
feel,0,1975
heart,0,1975
gon,0,1975
make,0,1975
never,0,1975
buddy,0,1975
way,0,1975
da,0,1975
wan,0,1975
jake,0,1975
boy,0,1975
ai,0,1975
back,0,1975
hey,0,1975
b***h,0,1975
ayy,0,1975
n***a,0,1975
love,264.4,1976
like,150,1976
know,90.8,1976
funny,0,1976
oh,134.4,1976
yeah,69.2,1976
go,28,1976
might,0,1976
one,0,1976
also,0,1976
come,36.4,1976
baby,139.2,1976
day,31,1976
said,0,1976
la,58.4,1976
twist,0,1976
let,48.6,1976
got,92,1976
say,23.4,1976
um,0,1976
time,27.4,1976
girl,0,1976
na,75.8,1976
protest,0,1976
need,0,1976
get,133,1976
see,0,1976
take,21.2,1976
ooh,0,1976
sweet,0,1976
du,0,1976
man,0,1976
ca,0,1976
chance,0,1976
want,0,1976
feat,0,1976
night,0,1976
feel,0,1976
heart,0,1976
gon,0,1976
make,0,1976
never,0,1976
buddy,0,1976
way,0,1976
da,0,1976
wan,0,1976
jake,0,1976
boy,0,1976
ai,0,1976
back,0,1976
hey,0,1976
b***h,0,1976
ayy,0,1976
n***a,0,1976
love,339.8,1977
like,156,1977
know,90.8,1977
funny,0,1977
oh,160,1977
yeah,111.6,1977
go,28,1977
might,0,1977
one,0,1977
also,0,1977
come,36.4,1977
baby,158.4,1977
day,0,1977
said,0,1977
la,58.4,1977
twist,0,1977
let,29.8,1977
got,108.6,1977
say,0,1977
um,0,1977
time,27.4,1977
girl,0,1977
na,95.6,1977
protest,0,1977
need,0,1977
get,147.2,1977
see,0,1977
take,0,1977
ooh,35,1977
sweet,34.2,1977
du,0,1977
man,0,1977
ca,0,1977
chance,0,1977
want,0,1977
feat,0,1977
night,0,1977
feel,0,1977
heart,0,1977
gon,0,1977
make,0,1977
never,0,1977
buddy,0,1977
way,0,1977
da,0,1977
wan,0,1977
jake,0,1977
boy,0,1977
ai,0,1977
back,0,1977
hey,0,1977
b***h,0,1977
ayy,0,1977
n***a,0,1977
love,358.2,1978
like,176.4,1978
know,88.6,1978
funny,0,1978
oh,176.6,1978
yeah,105.6,1978
go,0,1978
might,0,1978
one,0,1978
also,0,1978
come,36.4,1978
baby,128.6,1978
day,0,1978
said,0,1978
la,58.4,1978
twist,0,1978
let,29.8,1978
got,116.6,1978
say,0,1978
um,0,1978
time,27.4,1978
girl,0,1978
na,102.2,1978
protest,0,1978
need,0,1978
get,153.2,1978
see,0,1978
take,0,1978
ooh,35,1978
sweet,34.2,1978
du,42.8,1978
man,29.4,1978
ca,0,1978
chance,0,1978
want,0,1978
feat,0,1978
night,0,1978
feel,0,1978
heart,0,1978
gon,0,1978
make,0,1978
never,0,1978
buddy,0,1978
way,0,1978
da,0,1978
wan,0,1978
jake,0,1978
boy,0,1978
ai,0,1978
back,0,1978
hey,0,1978
b***h,0,1978
ayy,0,1978
n***a,0,1978
love,363.2,1979
like,138.2,1979
know,93.8,1979
funny,0,1979
oh,181.6,1979
yeah,105.6,1979
go,0,1979
might,0,1979
one,0,1979
also,0,1979
come,33.4,1979
baby,110.6,1979
day,0,1979
said,0,1979
la,28.2,1979
twist,0,1979
let,29.8,1979
got,123.6,1979
say,0,1979
um,0,1979
time,27.4,1979
girl,0,1979
na,70.2,1979
protest,0,1979
need,0,1979
get,153.6,1979
see,0,1979
take,54.2,1979
ooh,35,1979
sweet,34.2,1979
du,42.8,1979
man,29.4,1979
ca,36.6,1979
chance,34.6,1979
want,0,1979
feat,0,1979
night,0,1979
feel,0,1979
heart,0,1979
gon,0,1979
make,0,1979
never,0,1979
buddy,0,1979
way,0,1979
da,0,1979
wan,0,1979
jake,0,1979
boy,0,1979
ai,0,1979
back,0,1979
hey,0,1979
b***h,0,1979
ayy,0,1979
n***a,0,1979
love,432.4,1980
like,126.8,1980
know,108.4,1980
funny,0,1980
oh,190.8,1980
yeah,72.8,1980
go,0,1980
might,0,1980
one,0,1980
also,0,1980
come,33.4,1980
baby,112,1980
day,0,1980
said,0,1980
la,0,1980
twist,0,1980
let,0,1980
got,173.2,1980
say,34,1980
um,0,1980
time,33,1980
girl,0,1980
na,70.2,1980
protest,0,1980
need,0,1980
get,162.8,1980
see,0,1980
take,54.2,1980
ooh,35,1980
sweet,34.2,1980
du,42.8,1980
man,29.4,1980
ca,36.6,1980
chance,34.6,1980
want,36,1980
feat,0,1980
night,0,1980
feel,0,1980
heart,0,1980
gon,0,1980
make,0,1980
never,0,1980
buddy,0,1980
way,0,1980
da,0,1980
wan,0,1980
jake,0,1980
boy,0,1980
ai,0,1980
back,0,1980
hey,0,1980
b***h,0,1980
ayy,0,1980
n***a,0,1980
love,379.8,1981
like,143.2,1981
know,150.2,1981
funny,0,1981
oh,134.4,1981
yeah,30.4,1981
go,39.8,1981
might,0,1981
one,0,1981
also,0,1981
come,33.4,1981
baby,118.8,1981
day,0,1981
said,0,1981
la,0,1981
twist,0,1981
let,48.4,1981
got,131.2,1981
say,34,1981
um,0,1981
time,73.8,1981
girl,0,1981
na,75,1981
protest,0,1981
need,0,1981
get,123.2,1981
see,0,1981
take,54.2,1981
ooh,0,1981
sweet,0,1981
du,42.8,1981
man,29.4,1981
ca,36.6,1981
chance,34.6,1981
want,36,1981
feat,59.6,1981
night,46.4,1981
feel,0,1981
heart,0,1981
gon,0,1981
make,0,1981
never,0,1981
buddy,0,1981
way,0,1981
da,0,1981
wan,0,1981
jake,0,1981
boy,0,1981
ai,0,1981
back,0,1981
hey,0,1981
b***h,0,1981
ayy,0,1981
n***a,0,1981
love,358.6,1982
like,124.2,1982
know,160,1982
funny,0,1982
oh,116.2,1982
yeah,0,1982
go,39.8,1982
might,0,1982
one,26.8,1982
also,0,1982
come,33.4,1982
baby,144.6,1982
day,0,1982
said,0,1982
la,0,1982
twist,0,1982
let,48.4,1982
got,114.8,1982
say,58.4,1982
um,0,1982
time,104.2,1982
girl,0,1982
na,78.2,1982
protest,0,1982
need,0,1982
get,91.6,1982
see,0,1982
take,54.2,1982
ooh,0,1982
sweet,0,1982
du,0,1982
man,0,1982
ca,36.6,1982
chance,34.6,1982
want,36,1982
feat,59.6,1982
night,46.4,1982
feel,0,1982
heart,0,1982
gon,0,1982
make,0,1982
never,0,1982
buddy,0,1982
way,0,1982
da,0,1982
wan,0,1982
jake,0,1982
boy,0,1982
ai,0,1982
back,0,1982
hey,0,1982
b***h,0,1982
ayy,0,1982
n***a,0,1982
love,357,1983
like,124.2,1983
know,162.8,1983
funny,0,1983
oh,107.4,1983
yeah,0,1983
go,74.4,1983
might,0,1983
one,26.8,1983
also,0,1983
come,0,1983
baby,145.6,1983
day,0,1983
said,0,1983
la,0,1983
twist,0,1983
let,82.8,1983
got,111.2,1983
say,58.4,1983
um,0,1983
time,104.2,1983
girl,0,1983
na,112,1983
protest,0,1983
need,0,1983
get,93.4,1983
see,0,1983
take,0,1983
ooh,0,1983
sweet,0,1983
du,0,1983
man,0,1983
ca,33,1983
chance,0,1983
want,36,1983
feat,59.6,1983
night,46.4,1983
feel,0,1983
heart,0,1983
gon,0,1983
make,0,1983
never,0,1983
buddy,0,1983
way,0,1983
da,0,1983
wan,0,1983
jake,0,1983
boy,0,1983
ai,0,1983
back,0,1983
hey,0,1983
b***h,0,1983
ayy,0,1983
n***a,0,1983
love,283.4,1984
like,132.2,1984
know,170.8,1984
funny,0,1984
oh,106,1984
yeah,38,1984
go,74.4,1984
might,0,1984
one,26.8,1984
also,0,1984
come,30.8,1984
baby,106.2,1984
day,0,1984
said,0,1984
la,0,1984
twist,0,1984
let,82.8,1984
got,95.8,1984
say,62.6,1984
um,0,1984
time,103.2,1984
girl,0,1984
na,142.6,1984
protest,0,1984
need,0,1984
get,42.2,1984
see,0,1984
take,0,1984
ooh,0,1984
sweet,0,1984
du,0,1984
man,0,1984
ca,33,1984
chance,0,1984
want,0,1984
feat,59.6,1984
night,46.4,1984
feel,0,1984
heart,0,1984
gon,0,1984
make,0,1984
never,0,1984
buddy,0,1984
way,0,1984
da,0,1984
wan,0,1984
jake,0,1984
boy,0,1984
ai,0,1984
back,0,1984
hey,0,1984
b***h,0,1984
ayy,0,1984
n***a,0,1984
love,264.4,1985
like,119.4,1985
know,180.2,1985
funny,0,1985
oh,162.4,1985
yeah,38,1985
go,34.6,1985
might,0,1985
one,26.8,1985
also,0,1985
come,30.8,1985
baby,60.4,1985
day,0,1985
said,0,1985
la,0,1985
twist,0,1985
let,34.4,1985
got,137.8,1985
say,102.6,1985
um,0,1985
time,100,1985
girl,0,1985
na,137.8,1985
protest,0,1985
need,0,1985
get,42.2,1985
see,0,1985
take,0,1985
ooh,34.6,1985
sweet,0,1985
du,0,1985
man,0,1985
ca,33,1985
chance,0,1985
want,0,1985
feat,0,1985
night,48.6,1985
feel,0,1985
heart,0,1985
gon,0,1985
make,0,1985
never,0,1985
buddy,0,1985
way,0,1985
da,0,1985
wan,0,1985
jake,0,1985
boy,0,1985
ai,0,1985
back,0,1985
hey,0,1985
b***h,0,1985
ayy,0,1985
n***a,0,1985
love,281.2,1986
like,118.2,1986
know,175.4,1986
funny,0,1986
oh,197,1986
yeah,74,1986
go,34.6,1986
might,0,1986
one,0,1986
also,0,1986
come,30.8,1986
baby,64.6,1986
day,0,1986
said,0,1986
la,0,1986
twist,0,1986
let,34.4,1986
got,113.8,1986
say,78.2,1986
um,0,1986
time,69.6,1986
girl,0,1986
na,143.8,1986
protest,0,1986
need,0,1986
get,42.2,1986
see,0,1986
take,0,1986
ooh,34.6,1986
sweet,0,1986
du,0,1986
man,0,1986
ca,33,1986
chance,0,1986
want,35,1986
feat,0,1986
night,78.6,1986
feel,36,1986
heart,0,1986
gon,0,1986
make,0,1986
never,0,1986
buddy,0,1986
way,0,1986
da,0,1986
wan,0,1986
jake,0,1986
boy,0,1986
ai,0,1986
back,0,1986
hey,0,1986
b***h,0,1986
ayy,0,1986
n***a,0,1986
love,301,1987
like,157.2,1987
know,192.2,1987
funny,0,1987
